month;cpv_division;division_name;tender_count
2024-11;71;Usługi architektoniczne i inżynieryjne;528
2024-11;34;Sprzęt transportowy i pojazdy;507
2024-11;79;Usługi biznesowe i doradcze;500
2024-11;55;Usługi hotelarskie i restauracyjne;428
2024-11;85;Usługi zdrowotne i społeczne;366
2024-11;66;Usługi finansowe i ubezpieczeniowe;326
2024-11;39;Meble i wyposażenie wnętrz;323
2024-11;64;Usługi pocztowe i telekomunikacyjne;310
2024-11;48;Pakiety oprogramowania;279
2024-11;60;Usługi transportu drogowego;259
2024-11;50;Usługi napraw i konserwacji;244
2024-11;38;Sprzęt laboratoryjny i naukowy;179
2024-11;32;Sprzęt elektroniczny i telekomunikacyjny;148
2024-11;3;Produkty rolne, łowieckie i rybne;147
2024-11;98;Pozostałe usługi komunalne i osobiste;139
2024-11;72;Usługi informatyczne;130
2024-11;80;Usługi edukacyjne;119
2024-11;42;Maszyny przemysłowe;85
2024-11;37;Sprzęt sportowy i rekreacyjny;80
2024-11;16;Maszyny rolnicze;78
2024-11;44;Materiały budowlane;74
2024-11;77;Usługi rolnicze i leśne;74
2024-11;31;Sprzęt elektryczny;64
2024-11;35;Sprzęt bezpieczeństwa i ochrony;64
2024-11;22;Drukowane materiały i produkty poligraficzne;60
2024-11;24;Produkty chemiczne;58
2024-11;18;Odzież i obuwie;45
2024-11;75;Usługi administracji publicznej;40
2024-11;92;Usługi rekreacyjne i kulturalne;40
2024-11;43;Maszyny górnicze;38
2024-11;63;Usługi spedycji i logistyki;33
2024-11;14;Górnictwo i minerały;32
2024-11;70;Usługi w zakresie nieruchomości;23
2024-11;65;Usługi komunalne (gaz, woda, energia);14
2024-11;19;Wyroby skórzane i tekstylne;12
2024-11;73;Usługi badawczo-rozwojowe;11
2024-11;51;Usługi instalacyjne;7
2024-11;76;Usługi związane z przemysłem naftowym;1
2024-12;15;Artykuły spożywcze i napoje;933
2024-12;45;Roboty budowlane;879
2024-12;90;Usługi środowiskowe i sanitarne;671
2024-12;9;Produkty naftowe, paliwa i energia;621
2024-12;33;Sprzęt medyczny i farmaceutyczny;573
2024-12;71;Usługi architektoniczne i inżynieryjne;501
2024-12;85;Usługi zdrowotne i społeczne;438
2024-12;55;Usługi hotelarskie i restauracyjne;378
2024-12;79;Usługi biznesowe i doradcze;355
2024-12;30;Sprzęt komputerowy i biurowy;244
2024-12;34;Sprzęt transportowy i pojazdy;242
2024-12;60;Usługi transportu drogowego;242
2024-12;50;Usługi napraw i konserwacji;223
2024-12;39;Meble i wyposażenie wnętrz;215
2024-12;64;Usługi pocztowe i telekomunikacyjne;215
2024-12;66;Usługi finansowe i ubezpieczeniowe;179
2024-12;48;Pakiety oprogramowania;178
2024-12;98;Pozostałe usługi komunalne i osobiste;134
2024-12;72;Usługi informatyczne;130
2024-12;3;Produkty rolne, łowieckie i rybne;105
2024-12;38;Sprzęt laboratoryjny i naukowy;93
2024-12;80;Usługi edukacyjne;91
2024-12;77;Usługi rolnicze i leśne;87
2024-12;32;Sprzęt elektroniczny i telekomunikacyjny;65
2024-12;44;Materiały budowlane;49
2024-12;24;Produkty chemiczne;45
2024-12;42;Maszyny przemysłowe;40
2024-12;31;Sprzęt elektryczny;34
2024-12;63;Usługi spedycji i logistyki;34
2024-12;18;Odzież i obuwie;32
2024-12;22;Drukowane materiały i produkty poligraficzne;29
2024-12;92;Usługi rekreacyjne i kulturalne;29
2024-12;16;Maszyny rolnicze;28
2024-12;70;Usługi w zakresie nieruchomości;26
2024-12;37;Sprzęt sportowy i rekreacyjny;20
2024-12;43;Maszyny górnicze;18
2024-12;14;Górnictwo i minerały;17
2024-12;35;Sprzęt bezpieczeństwa i ochrony;16
2024-12;75;Usługi administracji publicznej;16
2024-12;73;Usługi badawczo-rozwojowe;11
2024-12;19;Wyroby skórzane i tekstylne;9
2024-12;51;Usługi instalacyjne;9
2024-12;65;Usługi komunalne (gaz, woda, energia);5
2024-12;41;Woda i usługi wodne;2
2025-01;45;Roboty budowlane;1388
2025-01;33;Sprzęt medyczny i farmaceutyczny;621
2025-01;71;Usługi architektoniczne i inżynieryjne;520
2025-01;90;Usługi środowiskowe i sanitarne;356
2025-01;15;Artykuły spożywcze i napoje;341
2025-01;9;Produkty naftowe, paliwa i energia;301
2025-01;79;Usługi biznesowe i doradcze;222
2025-01;34;Sprzęt transportowy i pojazdy;209
2025-01;39;Meble i wyposażenie wnętrz;190
2025-01;85;Usługi zdrowotne i społeczne;187
2025-01;50;Usługi napraw i konserwacji;178
2025-01;30;Sprzęt komputerowy i biurowy;158
2025-01;55;Usługi hotelarskie i restauracyjne;149
2025-01;80;Usługi edukacyjne;148
2025-01;60;Usługi transportu drogowego;102
2025-01;48;Pakiety oprogramowania;101
2025-01;44;Materiały budowlane;99
2025-01;66;Usługi finansowe i ubezpieczeniowe;97
2025-01;77;Usługi rolnicze i leśne;92
2025-01;14;Górnictwo i minerały;91
2025-01;24;Produkty chemiczne;85
2025-01;38;Sprzęt laboratoryjny i naukowy;82
2025-01;3;Produkty rolne, łowieckie i rybne;62
2025-01;72;Usługi informatyczne;61
2025-01;98;Pozostałe usługi komunalne i osobiste;52
2025-01;63;Usługi spedycji i logistyki;50
2025-01;64;Usługi pocztowe i telekomunikacyjne;46
2025-01;42;Maszyny przemysłowe;43
2025-01;18;Odzież i obuwie;42
2025-01;32;Sprzęt elektroniczny i telekomunikacyjny;40
2025-01;35;Sprzęt bezpieczeństwa i ochrony;28
2025-01;31;Sprzęt elektryczny;27
2025-01;75;Usługi administracji publicznej;25
2025-01;92;Usługi rekreacyjne i kulturalne;25
2025-01;16;Maszyny rolnicze;21
2025-01;70;Usługi w zakresie nieruchomości;20
2025-01;22;Drukowane materiały i produkty poligraficzne;19
2025-01;43;Maszyny górnicze;19
2025-01;37;Sprzęt sportowy i rekreacyjny;15
2025-01;19;Wyroby skórzane i tekstylne;12
2025-01;41;Woda i usługi wodne;7
2025-01;73;Usługi badawczo-rozwojowe;6
2025-01;65;Usługi komunalne (gaz, woda, energia);4
2025-01;51;Usługi instalacyjne;2
2025-02;45;Roboty budowlane;2137
2025-02;71;Usługi architektoniczne i inżynieryjne;676
2025-02;33;Sprzęt medyczny i farmaceutyczny;662
2025-02;90;Usługi środowiskowe i sanitarne;309
2025-02;34;Sprzęt transportowy i pojazdy;296
2025-02;79;Usługi biznesowe i doradcze;275
2025-02;15;Artykuły spożywcze i napoje;259
2025-02;39;Meble i wyposażenie wnętrz;240
2025-02;30;Sprzęt komputerowy i biurowy;229
2025-02;80;Usługi edukacyjne;216
2025-02;55;Usługi hotelarskie i restauracyjne;211
2025-02;9;Produkty naftowe, paliwa i energia;194
2025-02;50;Usługi napraw i konserwacji;188
2025-02;85;Usługi zdrowotne i społeczne;152
2025-02;77;Usługi rolnicze i leśne;136
2025-02;66;Usługi finansowe i ubezpieczeniowe;134
2025-02;48;Pakiety oprogramowania;126
2025-02;38;Sprzęt laboratoryjny i naukowy;103
2025-02;44;Materiały budowlane;100
2025-02;72;Usługi informatyczne;88
2025-02;14;Górnictwo i minerały;85
2025-02;60;Usługi transportu drogowego;85
2025-02;24;Produkty chemiczne;79
2025-02;18;Odzież i obuwie;67
2025-02;31;Sprzęt elektryczny;64
2025-02;32;Sprzęt elektroniczny i telekomunikacyjny;58
2025-02;42;Maszyny przemysłowe;56
2025-02;3;Produkty rolne, łowieckie i rybne;54
2025-02;98;Pozostałe usługi komunalne i osobiste;46
2025-02;63;Usługi spedycji i logistyki;45
2025-02;64;Usługi pocztowe i telekomunikacyjne;43
2025-02;22;Drukowane materiały i produkty poligraficzne;33
2025-02;16;Maszyny rolnicze;30
2025-02;35;Sprzęt bezpieczeństwa i ochrony;29
2025-02;75;Usługi administracji publicznej;28
2025-02;92;Usługi rekreacyjne i kulturalne;27
2025-02;43;Maszyny górnicze;20
2025-02;37;Sprzęt sportowy i rekreacyjny;16
2025-02;70;Usługi w zakresie nieruchomości;15
2025-02;73;Usługi badawczo-rozwojowe;13
2025-02;19;Wyroby skórzane i tekstylne;7
2025-02;51;Usługi instalacyjne;5
2025-02;65;Usługi komunalne (gaz, woda, energia);5
2025-02;41;Woda i usługi wodne;4
2025-02;76;Usługi związane z przemysłem naftowym;1
2025-03;45;Roboty budowlane;2807
2025-03;71;Usługi architektoniczne i inżynieryjne;884
2025-03;33;Sprzęt medyczny i farmaceutyczny;752
2025-03;39;Meble i wyposażenie wnętrz;329
2025-03;34;Sprzęt transportowy i pojazdy;322
2025-03;30;Sprzęt komputerowy i biurowy;299
2025-03;80;Usługi edukacyjne;296
2025-03;90;Usługi środowiskowe i sanitarne;291
2025-03;79;Usługi biznesowe i doradcze;285
2025-03;15;Artykuły spożywcze i napoje;236
2025-03;55;Usługi hotelarskie i restauracyjne;219
2025-03;50;Usługi napraw i konserwacji;211
